1,4.23500013
1,2.47900009
1,88.6019974
1,2.5150001
1,17.0109997
1,2.00600004
1,1.98199999
1,3.36899996
1,10.8940001
1,1.95200002
1,26.9619999
2,72.3840027
1,25.0569992
1,2.32399988
1,1.71500003
1,4.30700016
1,13.3909998
1,694886.438
1,4.90799999
1,3.77800012
1,33.3219986
2,38.5880013
1,19.3320007
2,72.5510025
1,3.60899997
2,10.0780001
1,9.99800014
2,22.0599995
3,73.2949982
1,3.1960001
2,16.5860004
3,109.570999
1,3.80500007
2,7.0710001
3,46.1959991
1,18.3859997
2,37.3709984
3,117.746002
1,41.9760017
2,49.7729988
3,58.5229988
4,153.100998
1,5.17199993
2,10.7189999
3,19.3600006
4,114.296997
1,23.6679993
2,59.5429993
3,178.996002
4,228.042999
5,560.72998
